iter	Passed	Remaining
569	12517	9443
570	12539	9420
571	12558	9397
572	12579	9374
573	12599	9351
574	12620	9328
575	12642	9306
576	12662	9282
577	12684	9260
578	12703	9237
579	12725	9215
580	12747	9193
581	12769	9170
582	12789	9147
583	12809	9124
584	12830	9101
585	12852	9079
586	12873	9057
587	12895	9035
588	12916	9012
589	12936	8989
590	12957	8967
591	12979	8945
592	12999	8922
593	13020	8899
594	13039	8875
595	13060	8852
596	13081	8830
597	13102	8808
598	13123	8785
599	13144	8763
600	13166	8741
601	13186	8718
602	13207	8695
603	13226	8671
604	13247	8649
605	13268	8626
606	13288	8603
607	13310	8581
608	13331	8559
609	13352	8536
610	13372	8513
611	13392	8490
612	13412	8467
613	13433	8445
614	13454	8422
615	13476	8400
616	13495	8377
617	13516	8355
618	13539	8333
619	13560	8311
620	13581	8289
621	13602	8266
622	13623	8243
623	13644	8221
624	13665	8199
625	13685	8176
626	13707	8154
627	13727	8131
628	13749	8109
629	13771	8088
630	13793	8065
631	13813	8043
632	13834	8021
633	13856	7999
634	13877	7976
635	13898	7954
636	13919	7932
637	13941	7910
638	13962	7888
639	13983	7865
640	14004	7843
641	14025	7821
642	14045	7798
643	14065	7775
644	14085	7752
645	14105	7729
646	14125	7706
647	14145	7683
648	14165	7661
649	14187	7639
650	14207	7616
651	14228	7594
652	14250	7572
653	14270	7549
654	14291	7527
655	14312	7505
656	14332	7482
657	14354	7460
658	14375	7438
659	14399	7418
660	14423	7397
661	14445	7375
662	14466	7353
663	14486	7330
664	14507	7308
665	14527	7285
666	14548	7263
667	14568	7240
668	14588	7218
669	14609	7195
670	14629	7172
671	14652	7151
672	14672	7129
673	14695	7107
674	14715	7085
675	14736	7062
676	14757	7041
677	14778	7018
678	14799	6996
679	14820	6974
680	14840	6951
681	14860	6929
682	14880	6906
683	14899	6883
684	14919	6861
685	14941	6839
686	14962	6816
687	14982	6794
688	15002	6772
689	15024	6749
690	15044	6727
691	15065	6705
692	15086	6683
693	15107	6661
694	15131	6640
695	15151	6617
696	15173	6596
697	15193	6573
698	15214	6551
699	15235	6529
700	15256	6507
701	15277	6485
702	15298	6463
703	15319	6441
704	15340	6419
705	15361	6397
706	15381	6374
707	15403	6352
708	15426	6331
709	15447	6309
710	15467	6287
711	15489	6265
712	15511	6243
713	15532	6221
714	15553	6199
715	15576	6178
716	15597	6156
717	15618	6134
718	15638	6111
719	15658	6089
720	15679	6067
721	15700	6045
722	15720	6023
723	15741	6000
724	15762	5978
725	15784	5957
726	15804	5934
727	15825	5912
728	15846	5890
729	15867	5868
730	15888	5846
731	15909	5824
732	15929	5802
733	15949	5780
734	15970	5758
735	15990	5735
736	16009	5713
737	16029	5690
738	16050	5668
739	16071	5646
740	16093	5625
