'84' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.19112271540469974}
'85' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.1922715404699739}
'86' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.18851174934725848}
'87' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.19028720626631856}
'88' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.18276762402088773}
'89' = {dict: 4} {'n_estimators': 350, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.1935248041775457}
'90' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.01, 'method': 'own_rec', 'precision': 0.14441176470588235}
'91' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.17430809399477806}
'92' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.18433420365535247}
'93' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.19018276762402092}
'94' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.19091383812010446}
'95' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.19070496083550917}
'96' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
'97' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.1914360313315927}
'98' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.19091383812010446}
'99' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.19289817232375978}
'100' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.19550913838120107}
'101' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.1914360313315927}
'102' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.18757180156657965}
'103' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.17681462140992169}
'104' = {dict: 4} {'n_estimators': 400, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.18308093994778069}
'105' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.01, 'method': 'own_rec', 'precision': 0.14441176470588235}
'106' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.17691906005221936}
'107' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.18652741514360313}
'108' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.19112271540469974}
'109' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.19216710182767624}
'110' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.19154046997389035}
'111' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.19091383812010446}
'112' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.19028720626631856}
'113' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.19362924281984334}
'114' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.19394255874673627}
'115' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.1933159268929504}
'116' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.19091383812010446}
'117' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.18360313315926893}
'118' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.1709660574412533}
'119' = {dict: 4} {'n_estimators': 450, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.1799477806788512}
'120' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.01, 'method': 'reranked_own_rec', 'precision': 0.14548302872062666}
'121' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.178798955613577}
'122' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.1862140992167102}
'123' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.19101827676240213}
'124' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.1878851174934726}
'125' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.19404699738903394}
'126' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.1906005221932115}
'127' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.19133159268929506}
'128' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.1918537859007833}
'129' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.19509138381201047}
'130' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.19383812010443865}
'131' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.19289817232375978}
'132' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.17754569190600522}
'133' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.164177545691906}
'134' = {dict: 4} {'n_estimators': 500, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.17013054830287203}
'135' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.01, 'method': 'reranked_own_rec', 'precision': 0.1470496083550914}
'136' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.1820365535248042}
'137' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.1870496083550914}
'138' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.1920626631853786}
'139' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.18976501305483026}
'140' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.19321148825065274}
'141' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.191644908616188}
'142' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.19164490861618802}
'143' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.19456919060052222}
'144' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.19206266318537857}
'145' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.19373368146214098}
'146' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.19154046997389035}
'147' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.1671018276762402}
'148' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.8364285714285714, 'method': 'reranked_own_rec', 'precision': 0.14736292428198436}
'149' = {dict: 4} {'n_estimators': 550, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.1518537859007833}
'150' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.01, 'method': 'reranked_own_rec', 'precision': 0.14892950391644907}
'151' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.07357142857142857, 'method': 'reranked_own_rec', 'precision': 0.18234986945169715}
'152' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.13714285714285715, 'method': 'reranked_own_rec', 'precision': 0.18736292428198434}
'153' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.20071428571428573, 'method': 'reranked_own_rec', 'precision': 0.19415143603133161}
'154' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.2642857142857143, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
'155' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.32785714285714285, 'method': 'reranked_own_rec', 'precision': 0.195822454308094}
'156' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.39142857142857146, 'method': 'reranked_own_rec', 'precision': 0.19080939947780678}
'157' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.455, 'method': 'reranked_own_rec', 'precision': 0.19174934725848566}
'158' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.5185714285714286, 'method': 'reranked_own_rec', 'precision': 0.1924804177545692}
'159' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.5821428571428572, 'method': 'reranked_own_rec', 'precision': 0.19028720626631854}
'160' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.6457142857142857, 'method': 'reranked_own_rec', 'precision': 0.19342036553524805}
'161' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.7092857142857143, 'method': 'reranked_own_rec', 'precision': 0.18569190600522195}
'162' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.7728571428571429, 'method': 'reranked_own_rec', 'precision': 0.1572845953002611}
'163' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.8364285714285714, 'method': 'own_rec', 'precision': 0.14441176470588235}
'164' = {dict: 4} {'n_estimators': 600, 'learning_rate': 0.9, 'method': 'reranked_own_rec', 'precision': 0.15582245430809402}

_____________________________________________________

'0' = {dict: 4} {'max_depth': 5, 'num_leaves': 8, 'method': 'reranked_own_rec', 'precision': 0.16198433420365535}
'1' = {dict: 4} {'max_depth': 5, 'num_leaves': 10, 'method': 'reranked_own_rec', 'precision': 0.17159268929503918}
'2' = {dict: 4} {'max_depth': 5, 'num_leaves': 12, 'method': 'reranked_own_rec', 'precision': 0.1719060052219321}
'3' = {dict: 4} {'max_depth': 5, 'num_leaves': 14, 'method': 'reranked_own_rec', 'precision': 0.1744125326370757}
'4' = {dict: 4} {'max_depth': 5, 'num_leaves': 16, 'method': 'reranked_own_rec', 'precision': 0.176710182767624}
'5' = {dict: 4} {'max_depth': 5, 'num_leaves': 18, 'method': 'reranked_own_rec', 'precision': 0.17629242819843344}
'6' = {dict: 4} {'max_depth': 5, 'num_leaves': 20, 'method': 'reranked_own_rec', 'precision': 0.17859007832898172}
'7' = {dict: 4} {'max_depth': 5, 'num_leaves': 22, 'method': 'reranked_own_rec', 'precision': 0.18255874673629244}
'8' = {dict: 4} {'max_depth': 5, 'num_leaves': 24, 'method': 'reranked_own_rec', 'precision': 0.1801566579634465}
'9' = {dict: 4} {'max_depth': 5, 'num_leaves': 26, 'method': 'reranked_own_rec', 'precision': 0.1834986945169713}
'10' = {dict: 4} {'max_depth': 5, 'num_leaves': 28, 'method': 'reranked_own_rec', 'precision': 0.17911227154046996}
'11' = {dict: 4} {'max_depth': 5, 'num_leaves': 30, 'method': 'reranked_own_rec', 'precision': 0.18234986945169715}
'12' = {dict: 4} {'max_depth': 5, 'num_leaves': 32, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'13' = {dict: 4} {'max_depth': 5, 'num_leaves': 34, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'14' = {dict: 4} {'max_depth': 5, 'num_leaves': 36, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'15' = {dict: 4} {'max_depth': 5, 'num_leaves': 38, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'16' = {dict: 4} {'max_depth': 5, 'num_leaves': 40, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'17' = {dict: 4} {'max_depth': 5, 'num_leaves': 42, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'18' = {dict: 4} {'max_depth': 5, 'num_leaves': 44, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'19' = {dict: 4} {'max_depth': 5, 'num_leaves': 46, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'20' = {dict: 4} {'max_depth': 5, 'num_leaves': 48, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'21' = {dict: 4} {'max_depth': 5, 'num_leaves': 50, 'method': 'reranked_own_rec', 'precision': 0.18475195822454313}
'22' = {dict: 4} {'max_depth': 6, 'num_leaves': 8, 'method': 'reranked_own_rec', 'precision': 0.1643864229765013}
'23' = {dict: 4} {'max_depth': 6, 'num_leaves': 10, 'method': 'reranked_own_rec', 'precision': 0.17180156657963447}
'24' = {dict: 4} {'max_depth': 6, 'num_leaves': 12, 'method': 'reranked_own_rec', 'precision': 0.1716971279373368}
'25' = {dict: 4} {'max_depth': 6, 'num_leaves': 14, 'method': 'reranked_own_rec', 'precision': 0.17650130548302873}
'26' = {dict: 4} {'max_depth': 6, 'num_leaves': 16, 'method': 'reranked_own_rec', 'precision': 0.17817232375979114}
'27' = {dict: 4} {'max_depth': 6, 'num_leaves': 18, 'method': 'reranked_own_rec', 'precision': 0.18276762402088775}
'28' = {dict: 4} {'max_depth': 6, 'num_leaves': 20, 'method': 'reranked_own_rec', 'precision': 0.1816187989556136}
'29' = {dict: 4} {'max_depth': 6, 'num_leaves': 22, 'method': 'reranked_own_rec', 'precision': 0.1796344647519582}
'30' = {dict: 4} {'max_depth': 6, 'num_leaves': 24, 'method': 'reranked_own_rec', 'precision': 0.1801566579634465}
'31' = {dict: 4} {'max_depth': 6, 'num_leaves': 26, 'method': 'reranked_own_rec', 'precision': 0.1834986945169713}
'32' = {dict: 4} {'max_depth': 6, 'num_leaves': 28, 'method': 'reranked_own_rec', 'precision': 0.18412532637075718}
'33' = {dict: 4} {'max_depth': 6, 'num_leaves': 30, 'method': 'reranked_own_rec', 'precision': 0.1840208877284595}
'34' = {dict: 4} {'max_depth': 6, 'num_leaves': 32, 'method': 'reranked_own_rec', 'precision': 0.18631853785900784}
'35' = {dict: 4} {'max_depth': 6, 'num_leaves': 34, 'method': 'reranked_own_rec', 'precision': 0.1872584856396867}
'36' = {dict: 4} {'max_depth': 6, 'num_leaves': 36, 'method': 'reranked_own_rec', 'precision': 0.1899738903394256}
'37' = {dict: 4} {'max_depth': 6, 'num_leaves': 38, 'method': 'reranked_own_rec', 'precision': 0.18736292428198434}
'38' = {dict: 4} {'max_depth': 6, 'num_leaves': 40, 'method': 'reranked_own_rec', 'precision': 0.1883028720626632}
